Publication Years	Record Count	% of 109,366
2025	3139	2.870
2024	8225	7.521
2023	8061	7.371
2022	8366	7.650
2021	8218	7.514
2020	7035	6.433
2019	6146	5.620
2018	5498	5.027
2017	5152	4.711
2016	4747	4.340
2015	4373	3.999
2014	4057	3.710
2013	3929	3.593
2012	3750	3.429
2011	3361	3.073
2010	3247	2.969
2009	2945	2.693
2008	2871	2.625
2007	2654	2.427
2006	2495	2.281
2005	2514	2.299
2004	2194	2.006
2003	1726	1.578
2002	1591	1.455
2001	1167	1.067
2000	850	0.777
1999	455	0.416
1998	291	0.266
1997	152	0.139
1996	68	0.062
1995	32	0.029
1994	14	0.013
1993	17	0.016
1992	7	0.006
1991	7	0.006
1990	8	0.007
1989	2	0.002
1988	2	0.002
