Publication Years	Record Count	% of 101,525
2026	2	0.002
2025	3070	3.024
2024	7917	7.798
2023	7097	6.990
2022	7334	7.224
2021	7068	6.962
2020	6082	5.991
2019	5326	5.246
2018	4724	4.653
2017	4549	4.481
2016	4583	4.514
2015	4369	4.303
2014	4260	4.196
2013	4207	4.144
2012	4312	4.247
2011	3911	3.852
2010	3802	3.745
2009	3248	3.199
2008	2949	2.905
2007	2662	2.622
2006	2627	2.588
2005	2278	2.244
2004	1884	1.856
2003	1247	1.228
2002	993	0.978
2001	594	0.585
2000	306	0.301
1999	92	0.091
1998	30	0.030
1997	2	0.002
